ASCII SAMPLE CYCLES :			synecho6803_brd_temp36-31-36_whitel300.mdc
DATE :	26.11.2025	TIME :	11:33:31 odp.
CONVERTED CYCLES :			5261
Number of stored cycles			5261
Printed start cycle			1
Printed end cycle			5261
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	17.94	min:	9.22911E-010	max:	1.67387E-009	
'0/1'	27.75	min:	4.27391E-008	max:	4.4986E-008	
'0/2'	31.72	min:	1.83275E-008	max:	1.94882E-008	
'0/3'	35.87	min:	8.61726E-008	max:	8.69342E-008	
'0/4'	40.03	min:	3.46578E-008	max:	3.51229E-008	
'0/5'	43.72	min:	1.64506E-009	max:	1.67387E-009	
Datablock 1	PKR	[mbar]	
'1/0'	PKR	min:	1.744E-007	max:	2.362E-007	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'1/0'	
50	26.11.2025	11:34:51:37 odp.	80.377	1.80064E-007	4.81335E-008	2.11014E-008	8.37557E-008	3.42574E-008	1.73039E-009	2.323E-007	
51	26.11.2025	11:34:53:01 odp.	82.016	1.80058E-007	4.81469E-008	2.11438E-008	8.36958E-008	3.42233E-008	1.73344E-009	2.325E-007	
52	26.11.2025	11:34:54:65 odp.	83.654	1.80009E-007	4.83093E-008	2.11932E-008	8.36499E-008	3.42525E-008	1.73613E-009	2.331E-007	
53	26.11.2025	11:34:56:29 odp.	85.294	1.79899E-007	4.83679E-008	2.12572E-008	8.36188E-008	3.42208E-008	1.72831E-009	2.334E-007	
54	26.11.2025	11:34:57:93 odp.	86.933	1.79887E-007	4.85136E-008	2.12871E-008	8.35278E-008	3.42001E-008	1.73552E-009	2.317E-007	
55	26.11.2025	11:34:59:57 odp.	88.572	1.79838E-007	4.868E-008	2.13216E-008	8.34338E-008	3.41573E-008	1.73698E-009	2.34E-007	
56	26.11.2025	11:35:01:21 odp.	90.215	1.79826E-007	4.86679E-008	2.13741E-008	8.33481E-008	3.41377E-008	1.74797E-009	2.34E-007	
57	26.11.2025	11:35:02:85 odp.	91.854	1.79838E-007	4.87231E-008	2.14271E-008	8.32287E-008	3.40902E-008	1.73576E-009	2.331E-007	
58	26.11.2025	11:35:04:49 odp.	93.494	1.79533E-007	4.87756E-008	2.14589E-008	8.30979E-008	3.40449E-008	1.74015E-009	2.325E-007	
59	26.11.2025	11:35:06:13 odp.	95.134	1.79497E-007	4.88818E-008	2.15058E-008	8.29709E-008	3.40353E-008	1.74077E-009	2.334E-007	
