Sourcefile	20130524 151844 Tomas CO2+ethylene_faraday.qmp													
Exporttime	24.5.2013 17:40:45													
														
Start Time	24.5.2013 15:18:55,606													
End Time  	24.5.2013 17:40:45,656													
														
		14			26			32			40			44
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
24.5.2013 15:20:51	115,585	1,658739E-011	24.5.2013 15:20:51	116,121	7,623297E-013	24.5.2013 15:20:52	116,659	1,593533E-010	24.5.2013 15:20:52	117,194	1,467372E-011	24.5.2013 15:20:53	117,731	6,202346E-012
24.5.2013 15:20:53	118,267	1,66176E-011	24.5.2013 15:20:54	118,805	7,586891E-013	24.5.2013 15:20:54	119,341	1,591005E-010	24.5.2013 15:20:55	119,878	1,46682E-011	24.5.2013 15:20:56	120,414	6,155838E-012
24.5.2013 15:20:56	120,95	1,660386E-011	24.5.2013 15:20:57	121,486	7,614477E-013	24.5.2013 15:20:57	122,023	1,588995E-010	24.5.2013 15:20:58	122,562	1,463652E-011	24.5.2013 15:20:58	123,099	6,057629E-012
24.5.2013 15:20:59	123,636	1,652485E-011	24.5.2013 15:20:59	124,173	7,609016E-013	24.5.2013 15:21:00	124,709	1,593217E-010	24.5.2013 15:21:00	125,246	1,467346E-011	24.5.2013 15:21:01	125,783	5,954944E-012
24.5.2013 15:21:01	126,323	1,660163E-011	24.5.2013 15:21:02	126,865	7,58793E-013	24.5.2013 15:21:03	127,403	1,594988E-010	24.5.2013 15:21:03	127,943	1,467379E-011	24.5.2013 15:21:04	128,481	5,872562E-012
24.5.2013 15:21:04	129,021	1,663716E-011	24.5.2013 15:21:05	129,563	7,637628E-013	24.5.2013 15:21:05	130,102	1,591631E-010	24.5.2013 15:21:06	130,642	1,466759E-011	24.5.2013 15:21:06	131,181	5,801693E-012
24.5.2013 15:21:07	131,721	1,656192E-011	24.5.2013 15:21:07	132,261	7,621375E-013	24.5.2013 15:21:08	132,802	1,594339E-010	24.5.2013 15:21:08	133,341	1,468792E-011	24.5.2013 15:21:09	133,88	5,757317E-012
24.5.2013 15:21:10	134,418	1,660249E-011	24.5.2013 15:21:10	134,96	7,565326E-013	24.5.2013 15:21:11	135,501	1,594842E-010	24.5.2013 15:21:11	136,04	1,468389E-011	24.5.2013 15:21:12	136,579	5,741894E-012
24.5.2013 15:21:12	137,118	1,655053E-011	24.5.2013 15:21:13	137,66	7,604064E-013	24.5.2013 15:21:13	138,199	1,590789E-010	24.5.2013 15:21:14	138,739	1,465557E-011	24.5.2013 15:21:14	139,277	5,715305E-012
24.5.2013 15:21:15	139,817	1,660043E-011	24.5.2013 15:21:15	140,357	7,588061E-013	24.5.2013 15:21:16	140,897	1,595257E-010	24.5.2013 15:21:17	141,436	1,467617E-011	24.5.2013 15:21:17	141,975	5,696766E-012
24.5.2013 15:21:18	142,515	1,661678E-011	24.5.2013 15:21:18	143,055	7,619812E-013	24.5.2013 15:21:19	143,594	1,597482E-010	24.5.2013 15:21:19	144,135	1,464702E-011	24.5.2013 15:21:20	144,676	5,663768E-012
24.5.2013 15:21:20	145,216	1,660698E-011	24.5.2013 15:21:21	145,757	7,631642E-013	24.5.2013 15:21:21	146,295	1,594298E-010	24.5.2013 15:21:22	146,836	1,468406E-011	24.5.2013 15:21:22	147,375	5,629983E-012
24.5.2013 15:21:23	147,914	1,661336E-011	24.5.2013 15:21:24	148,456	7,603622E-013	24.5.2013 15:21:24	148,995	1,590679E-010	24.5.2013 15:21:25	149,534	1,463932E-011	24.5.2013 15:21:25	150,072	5,583409E-012
24.5.2013 15:21:26	150,611	1,646353E-011	24.5.2013 15:21:26	151,152	7,68699E-013	24.5.2013 15:21:27	151,692	1,588432E-010	24.5.2013 15:21:27	152,23	1,46483E-011	24.5.2013 15:21:28	152,77	5,537648E-012
24.5.2013 15:21:28	153,309	1,65467E-011	24.5.2013 15:21:29	153,85	7,592482E-013	24.5.2013 15:21:29	154,391	1,592497E-010	24.5.2013 15:21:30	154,93	1,466778E-011	24.5.2013 15:21:31	155,47	5,488791E-012
24.5.2013 15:21:31	156,008	1,660658E-011	24.5.2013 15:21:32	156,55	7,586155E-013	24.5.2013 15:21:32	157,088	1,59085E-010	24.5.2013 15:21:33	157,627	1,464742E-011	24.5.2013 15:21:33	158,164	5,498248E-012
24.5.2013 15:21:34	158,704	1,657731E-011	24.5.2013 15:21:34	159,243	7,612485E-013	24.5.2013 15:21:35	159,783	1,589627E-010	24.5.2013 15:21:35	160,321	1,46305E-011	24.5.2013 15:21:36	160,862	5,959731E-012
24.5.2013 15:21:37	161,403	1,65289E-011	24.5.2013 15:21:37	161,944	7,601574E-013	24.5.2013 15:21:38	162,485	1,592174E-010	24.5.2013 15:21:38	163,024	1,467183E-011	24.5.2013 15:21:39	163,563	6,498453E-012
24.5.2013 15:21:39	164,101	1,660649E-011	24.5.2013 15:21:40	164,642	7,60958E-013	24.5.2013 15:21:40	165,181	1,594091E-010	24.5.2013 15:21:41	165,723	1,468082E-011	24.5.2013 15:21:41	166,263	6,807462E-012
24.5.2013 15:21:42	166,803	1,664705E-011	24.5.2013 15:21:42	167,345	7,641312E-013	24.5.2013 15:21:43	167,883	1,589934E-010	24.5.2013 15:21:44	168,423	1,468127E-011	24.5.2013 15:21:44	168,963	6,972102E-012
24.5.2013 15:21:45	169,503	1,662713E-011	24.5.2013 15:21:45	170,043	7,611835E-013	24.5.2013 15:21:46	170,583	1,594195E-010	24.5.2013 15:21:46	171,122	1,470416E-011	24.5.2013 15:21:47	171,663	7,080679E-012
24.5.2013 15:21:47	172,202	1,657444E-011	24.5.2013 15:21:48	172,744	7,598345E-013	24.5.2013 15:21:48	173,283	1,588136E-010	24.5.2013 15:21:49	173,824	1,46577E-011	24.5.2013 15:21:49	174,365	7,096402E-012
24.5.2013 15:21:50	174,904	1,661046E-011	24.5.2013 15:21:51	175,447	7,602383E-013	24.5.2013 15:21:51	175,986	1,592684E-010	24.5.2013 15:21:52	176,526	1,467018E-011	24.5.2013 15:21:52	177,064	7,009076E-012
24.5.2013 15:21:53	177,606	1,661678E-011	24.5.2013 15:21:53	178,144	7,66272E-013	24.5.2013 15:21:54	178,685	1,595404E-010	24.5.2013 15:21:54	179,224	1,468129E-011	24.5.2013 15:21:55	179,764	6,834762E-012
24.5.2013 15:21:55	180,304	1,66017E-011	24.5.2013 15:21:56	180,843	7,649679E-013	24.5.2013 15:21:56	181,383	1,593704E-010	24.5.2013 15:21:57	181,922	1,469121E-011	24.5.2013 15:21:58	182,462	6,646708E-012
24.5.2013 15:21:58	183	1,664479E-011	24.5.2013 15:21:59	183,542	7,643811E-013	24.5.2013 15:21:59	184,082	1,591649E-010	24.5.2013 15:22:00	184,62	1,466064E-011	24.5.2013 15:22:00	185,159	6,474703E-012
24.5.2013 15:22:01	185,698	1,663591E-011	24.5.2013 15:22:01	186,238	7,635927E-013	24.5.2013 15:22:02	186,778	1,595575E-010	24.5.2013 15:22:02	187,317	1,470179E-011	24.5.2013 15:22:03	187,855	6,326249E-012
24.5.2013 15:22:03	188,392	1,667375E-011	24.5.2013 15:22:04	188,929	7,630811E-013	24.5.2013 15:22:05	189,464	1,592016E-010	24.5.2013 15:22:05	190	1,469738E-011	24.5.2013 15:22:06	190,538	6,205234E-012
24.5.2013 15:22:06	191,075	1,668969E-011	24.5.2013 15:22:07	191,614	7,594592E-013	24.5.2013 15:22:07	192,149	1,605494E-010	24.5.2013 15:22:08	192,687	1,477835E-011	24.5.2013 15:22:08	193,223	6,121586E-012
24.5.2013 15:22:09	193,759	1,687019E-011	24.5.2013 15:22:09	194,297	7,596994E-013	24.5.2013 15:22:10	194,832	1,60155E-010	24.5.2013 15:22:10	195,371	1,473998E-011	24.5.2013 15:22:11	195,908	6,258423E-012
24.5.2013 15:22:12	196,448	1,671343E-011	24.5.2013 15:22:12	196,988	7,622261E-013	24.5.2013 15:22:13	197,529	1,601804E-010	24.5.2013 15:22:13	198,068	1,475162E-011	24.5.2013 15:22:14	198,608	6,009038E-012
24.5.2013 15:22:14	199,148	1,675665E-011	24.5.2013 15:22:15	199,69	7,616611E-013	24.5.2013 15:22:15	200,231	1,603699E-010	24.5.2013 15:22:16	200,77	1,477521E-011	24.5.2013 15:22:16	201,31	5,977799E-012
24.5.2013 15:22:17	201,849	1,668907E-011	24.5.2013 15:22:17	202,389	7,601653E-013	24.5.2013 15:22:18	202,929	1,59744E-010	24.5.2013 15:22:19	203,468	1,473068E-011	24.5.2013 15:22:19	204,007	5,950079E-012
24.5.2013 15:22:20	204,548	1,672491E-011	24.5.2013 15:22:20	205,089	7,625326E-013	24.5.2013 15:22:21	205,626	1,602472E-010	24.5.2013 15:22:21	206,166	1,476266E-011	24.5.2013 15:22:22	206,704	5,934614E-012
24.5.2013 15:22:22	207,245	1,673672E-011	24.5.2013 15:22:23	207,785	7,59122E-013	24.5.2013 15:22:23	208,324	1,602457E-010	24.5.2013 15:22:24	208,863	1,47269E-011	24.5.2013 15:22:25	209,402	5,916833E-012
24.5.2013 15:22:25	209,941	1,665981E-011	24.5.2013 15:22:26	210,482	7,602655E-013	24.5.2013 15:22:26	211,019	1,601417E-010	24.5.2013 15:22:27	211,559	1,475632E-011	24.5.2013 15:22:27	212,1	5,910576E-012
24.5.2013 15:22:28	212,637	1,672131E-011	24.5.2013 15:22:28	213,178	7,619118E-013	24.5.2013 15:22:29	213,717	1,602099E-010	24.5.2013 15:22:29	214,258	1,47623E-011	24.5.2013 15:22:30	214,798	5,911151E-012
24.5.2013 15:22:30	215,339	1,673533E-011	24.5.2013 15:22:31	215,878	7,605316E-013	24.5.2013 15:22:32	216,418	1,59744E-010	24.5.2013 15:22:32	216,954	1,471594E-011	24.5.2013 15:22:33	217,493	5,909202E-012
24.5.2013 15:22:33	218,032	1,671426E-011	24.5.2013 15:22:34	218,573	7,606101E-013	24.5.2013 15:22:34	219,113	1,601645E-010	24.5.2013 15:22:35	219,653	1,475904E-011	24.5.2013 15:22:35	220,194	5,919633E-012
