Sourcefile	20130531 095358 Tomas CO2+ethylene_faraday.qmp
Exporttime	31.5.2013 12:04:44

Start Time	31.5.2013 9:54:16,396
End Time  	31.5.2013 12:04:43,672

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
31.5.2013 9:56:57	161,428	1,627945e-011	31.5.2013 9:56:58	161,966	9,962719e-013	31.5.2013 9:56:58	162,502	1,507261e-010	31.5.2013 9:56:59	163,037	1,407505e-011	31.5.2013 9:56:59	163,576	4,827214e-012	
31.5.2013 9:57:00	164,113	1,621008e-011	31.5.2013 9:57:01	164,650	9,935206e-013	31.5.2013 9:57:01	165,186	1,504301e-010	31.5.2013 9:57:02	165,725	1,404379e-011	31.5.2013 9:57:02	166,262	4,827604e-012	
31.5.2013 9:57:03	166,799	1,634197e-011	31.5.2013 9:57:03	167,336	9,961152e-013	31.5.2013 9:57:04	167,873	1,503155e-010	31.5.2013 9:57:04	168,409	1,402363e-011	31.5.2013 9:57:05	168,946	4,820266e-012	
31.5.2013 9:57:05	169,484	1,631467e-011	31.5.2013 9:57:06	170,022	9,910558e-013	31.5.2013 9:57:06	170,560	1,499869e-010	31.5.2013 9:57:07	171,095	1,396127e-011	31.5.2013 9:57:08	171,633	4,825714e-012	
31.5.2013 9:57:08	172,170	1,616890e-011	31.5.2013 9:57:09	172,709	9,901563e-013	31.5.2013 9:57:09	173,245	1,502124e-010	31.5.2013 9:57:10	173,783	1,400330e-011	31.5.2013 9:57:10	174,321	4,826109e-012	
31.5.2013 9:57:11	174,857	1,623963e-011	31.5.2013 9:57:11	175,397	9,909601e-013	31.5.2013 9:57:12	175,933	1,504829e-010	31.5.2013 9:57:12	176,470	1,401709e-011	31.5.2013 9:57:13	177,007	4,823195e-012	
31.5.2013 9:57:13	177,543	1,613863e-011	31.5.2013 9:57:14	178,083	9,890272e-013	31.5.2013 9:57:15	178,621	1,500254e-010	31.5.2013 9:57:15	179,160	1,398969e-011	31.5.2013 9:57:16	179,698	4,826788e-012	
31.5.2013 9:57:16	180,234	1,622371e-011	31.5.2013 9:57:17	180,772	9,910690e-013	31.5.2013 9:57:17	181,308	1,503244e-010	31.5.2013 9:57:18	181,844	1,402292e-011	31.5.2013 9:57:18	182,380	4,822132e-012	
31.5.2013 9:57:19	182,918	1,621087e-011	31.5.2013 9:57:19	183,457	9,900996e-013	31.5.2013 9:57:20	183,994	1,502042e-010	31.5.2013 9:57:20	184,531	1,401932e-011	31.5.2013 9:57:21	185,068	4,831383e-012	
31.5.2013 9:57:22	185,607	1,613118e-011	31.5.2013 9:57:22	186,145	9,853732e-013	31.5.2013 9:57:23	186,682	1,500131e-010	31.5.2013 9:57:23	187,219	1,399997e-011	31.5.2013 9:57:24	187,756	4,828367e-012	
31.5.2013 9:57:24	188,294	1,633095e-011	31.5.2013 9:57:25	188,831	9,912251e-013	31.5.2013 9:57:25	189,369	1,498692e-010	31.5.2013 9:57:26	189,906	1,398861e-011	31.5.2013 9:57:26	190,444	4,827736e-012	
