Sourcefile	20131107 111108 Tomas CO2+ethylene_faraday.qmp
Exporttime	7.11.2013 14:12:07

Start Time	7.11.2013 11:12:45,713
End Time  	7.11.2013 14:12:07,159

		14			26			32			40			44			18			TP86	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
7.11.2013 11:14:22	96,664	7,120879e-012	7.11.2013 11:14:22	97,202	-7,185303e-014	7.11.2013 11:14:23	97,739	3,702902e-011	7.11.2013 11:14:23	98,278	3,530476e-012	7.11.2013 11:14:24	98,816	1,110958e-012	7.11.2013 11:14:27	101,794	3,437665e-011	7.11.2013 11:14:27	101,732	2,017641e-006	
7.11.2013 11:14:25	99,496	7,102141e-012	7.11.2013 11:14:25	100,034	-7,173027e-014	7.11.2013 11:14:26	100,571	3,714517e-011	7.11.2013 11:14:26	101,111	3,529541e-012	7.11.2013 11:14:27	101,649	1,114554e-012	7.11.2013 11:14:30	104,638	3,425778e-011	7.11.2013 11:14:30	104,576	2,055813e-006	
7.11.2013 11:14:28	102,332	7,118124e-012	7.11.2013 11:14:28	102,870	-6,198569e-014	7.11.2013 11:14:29	103,407	3,720138e-011	7.11.2013 11:14:29	103,945	3,540485e-012	7.11.2013 11:14:30	104,485	1,133063e-012	7.11.2013 11:14:33	107,474	3,402509e-011	7.11.2013 11:14:33	107,413	2,036637e-006	
7.11.2013 11:14:30	105,175	7,419618e-012	7.11.2013 11:14:31	105,714	-5,338910e-014	7.11.2013 11:14:31	106,252	3,698421e-011	7.11.2013 11:14:32	106,791	3,540920e-012	7.11.2013 11:14:33	107,328	1,134430e-012	7.11.2013 11:14:36	110,311	3,388881e-011	7.11.2013 11:14:35	110,250	1,989475e-006	
7.11.2013 11:14:33	108,011	7,359217e-012	7.11.2013 11:14:34	108,550	-2,271884e-014	7.11.2013 11:14:34	109,089	3,476714e-011	7.11.2013 11:14:35	109,625	3,315708e-012	7.11.2013 11:14:35	110,165	1,093182e-012	7.11.2013 11:14:38	113,145	3,348275e-011	7.11.2013 11:14:38	113,084	1,943407e-006	
7.11.2013 11:14:36	110,846	7,575406e-012	7.11.2013 11:14:37	111,386	3,020863e-013	7.11.2013 11:14:37	111,923	2,811747e-011	7.11.2013 11:14:38	112,461	2,740554e-012	7.11.2013 11:14:38	112,999	9,652257e-013	7.11.2013 11:14:41	115,983	3,275813e-011	7.11.2013 11:14:41	115,922	1,898405e-006	
7.11.2013 11:14:39	113,683	7,978343e-012	7.11.2013 11:14:39	114,222	1,016654e-012	7.11.2013 11:14:40	114,761	2,101544e-011	7.11.2013 11:14:41	115,298	2,115839e-012	7.11.2013 11:14:41	115,837	8,215872e-013	7.11.2013 11:14:44	118,814	3,203381e-011	7.11.2013 11:14:44	118,754	1,880696e-006	
7.11.2013 11:14:42	116,520	8,342993e-012	7.11.2013 11:14:42	117,058	1,810582e-012	7.11.2013 11:14:43	117,595	1,516396e-011	7.11.2013 11:14:43	118,132	1,571274e-012	7.11.2013 11:14:44	118,671	6,858340e-013	7.11.2013 11:14:47	121,652	3,117756e-011	7.11.2013 11:14:47	121,590	1,871906e-006	
7.11.2013 11:14:45	119,353	8,645618e-012	7.11.2013 11:14:45	119,891	2,484413e-012	7.11.2013 11:14:46	120,429	1,068301e-011	7.11.2013 11:14:46	120,967	1,141173e-012	7.11.2013 11:14:47	121,505	5,802823e-013	7.11.2013 11:14:50	124,500	3,031181e-011	7.11.2013 11:14:50	124,439	1,854446e-006	
7.11.2013 11:14:47	122,190	8,807485e-012	7.11.2013 11:14:48	122,727	2,978418e-012	7.11.2013 11:14:48	123,278	7,573860e-012	7.11.2013 11:14:49	123,815	8,230059e-013	7.11.2013 11:14:50	124,355	4,857513e-013	7.11.2013 11:14:53	127,336	2,953280e-011	7.11.2013 11:14:52	127,275	1,854446e-006	
7.11.2013 11:14:50	125,037	8,903360e-012	7.11.2013 11:14:51	125,576	3,333326e-012	7.11.2013 11:14:51	126,114	5,463669e-012	7.11.2013 11:14:52	126,652	5,939669e-013	7.11.2013 11:14:52	127,190	4,228614e-013	7.11.2013 11:14:55	130,171	2,880085e-011	7.11.2013 11:14:55	130,110	1,854446e-006	
7.11.2013 11:14:53	127,876	8,982304e-012	7.11.2013 11:14:54	128,413	3,565573e-012	7.11.2013 11:14:54	128,952	3,929344e-012	7.11.2013 11:14:55	129,488	4,385004e-013	7.11.2013 11:14:55	130,026	3,717794e-013	7.11.2013 11:14:58	133,006	2,825805e-011	7.11.2013 11:14:58	132,945	1,845776e-006	
7.11.2013 11:14:56	130,709	8,999529e-012	7.11.2013 11:14:56	131,249	3,714115e-012	7.11.2013 11:14:57	131,786	3,033267e-012	7.11.2013 11:14:58	132,323	3,244865e-013	7.11.2013 11:14:58	132,861	3,355824e-013	7.11.2013 11:15:01	135,840	2,761311e-011	7.11.2013 11:15:01	135,779	1,854446e-006	
7.11.2013 11:14:59	133,543	9,020193e-012	7.11.2013 11:14:59	134,082	3,800723e-012	7.11.2013 11:15:00	134,619	2,339357e-012	7.11.2013 11:15:00	135,157	2,464866e-013	7.11.2013 11:15:01	135,695	3,096918e-013	7.11.2013 11:15:04	138,675	2,725812e-011	7.11.2013 11:15:04	138,614	1,845776e-006	
7.11.2013 11:15:02	136,378	9,085593e-012	7.11.2013 11:15:02	136,915	3,864934e-012	7.11.2013 11:15:03	137,453	1,826936e-012	7.11.2013 11:15:03	137,991	1,997558e-013	7.11.2013 11:15:04	138,530	2,910481e-013	7.11.2013 11:15:07	141,508	2,693877e-011	7.11.2013 11:15:07	141,447	1,845776e-006	
7.11.2013 11:15:04	139,212	9,031978e-012	7.11.2013 11:15:05	139,750	3,906248e-012	7.11.2013 11:15:06	140,288	1,609669e-012	7.11.2013 11:15:06	140,827	1,551133e-013	7.11.2013 11:15:07	141,364	2,754049e-013	7.11.2013 11:15:10	144,343	2,671277e-011	7.11.2013 11:15:09	144,281	1,845776e-006	
7.11.2013 11:15:07	142,046	9,056312e-012	7.11.2013 11:15:08	142,584	3,930515e-012	7.11.2013 11:15:08	143,122	1,337876e-012	7.11.2013 11:15:09	143,658	1,252995e-013	7.11.2013 11:15:09	144,197	2,659159e-013	7.11.2013 11:15:12	147,174	2,656229e-011	7.11.2013 11:15:12	147,113	1,845776e-006	
